item_name,category_name,records_json
司岗里,民间文学,"[{""公布时间"": ""2008(第二批)"", ""申报地区或单位"": ""云南省沧源佤族自治县"", ""保护单位"": ""沧源佤族自治县文化馆""}, {""公布时间"": ""2011(第三批)"", ""申报地区或单位"": ""云南省西盟佤族自治县"", ""保护单位"": ""西盟佤族自治县文化馆""}]"
彝族克智,民间文学,"[{""公布时间"": ""2008(第二批)"", ""申报地区或单位"": ""四川省美姑县"", ""保护单位"": ""美姑县文化馆""}]"
苗族贾理,民间文学,"[{""公布时间"": ""2008(第二批)"", ""申报地区或单位"": ""贵州省黔东南苗族侗族自治州"", ""保护单位"": ""黔东南苗族侗族自治州文化研究所""}]"
藏族婚宴十八说,民间文学,"[{""公布时间"": ""2008(第二批)"", ""申报地区或单位"": ""青海省"", ""保护单位"": ""青海省文化馆""}]"
童谣（北京童谣）,民间文学,"[{""公布时间"": ""2008(第二批)"", ""申报地区或单位"": ""北京市宣武区"", ""保护单位"": ""北京市宣武师范学校附属第一小学""}]"
童谣（闽南童谣）,民间文学,"[{""公布时间"": ""2008(第二批)"", ""申报地区或单位"": ""福建省厦门市"", ""保护单位"": ""厦门市集美区灌口小学（福建省厦门实验小学集美分校）""}]"
童谣（绍兴童谣）,民间文学,"[{""公布时间"": ""2014(第四批)"", ""申报地区或单位"": ""浙江省绍兴市"", ""保护单位"": ""绍兴市文化馆、绍兴市非物质文化遗产保护中心""}]"
童谣（纳西族童谣）,民间文学,"[{""公布时间"": ""2021(第五批)"", ""申报地区或单位"": ""云南省丽江市古城区"", ""保护单位"": ""古城区非物质文化遗产保护管理中心""}]"
桐城歌,民间文学,"[{""公布时间"": ""2008(第二批)"", ""申报地区或单位"": ""安徽省桐城市"", ""保护单位"": ""桐城市文化馆""}]"
土家族梯玛歌,民间文学,"[{""公布时间"": ""2008(第二批)"", ""申报地区或单位"": ""湖南省龙山县"", ""保护单位"": ""龙山县非物质文化遗产保护中心""}]"
雷州歌,民间文学,"[{""公布时间"": ""2008(第二批)"", ""申报地区或单位"": ""广东省雷州市"", ""保护单位"": ""雷州市雷歌研究会""}]"
